"";"10";"10.5";"11";"12";"13";"14";"15";"16";"17";"18.1";"19";"20.1";"20.2";"20.3";"20.4";"20.42";"20.5";"20.51";"20.6";"21";"22";"22.1";"22.2";"23";"23.1";"23.3";"23.42";"23.5";"24";"24.46";"25.1";"25.2";"25.3";"25.4";"25.5";"25.6";"25.7";"25.9";"25.94";"26.1";"26.11";"26.2";"26.3";"26.4";"26.5";"26.51";"26.52";"26.6";"26.7";"26.8";"27.1";"27.12";"27.2";"27.3";"27.33";"27.4";"27.5";"27.9";"28.1";"28.11";"28.14";"28.21";"28.22";"28.23";"28.25";"28.29";"28.3";"28.4";"28.9";"28.92";"28.94";"28.95";"28.99";"29.1";"29.3";"30";"31";"32";"32.5";"32.9";"42.2";"42.91";"43";"62";"Step"
"CS";93,877023581543;0;0;0;0;0;75,043771774087;87,5782246640895;0;0;0;96,6642216191777;88,6907372920903;0;0;0;96,6062322172064;0;0;77,7455932132923;46,061773408263;0;0;89,5576958680554;94,2038256602913;0;0;0;0;0;84,5824671912688;79,3610281970538;0;0;0;0;0;0;0;0;0;0;0;0;0;90,577798662627;0;0;0;0;95,040672672417;0;0;0;0;96,7221991746;0;0;0;94,2569561493759;0;0;92,3250351781384;0;0;22,2771975370428;90,6516306700122;0;0;85,4795566965666;98,9419799439526;0;95,7551431684418;0;0;95,8900507504839;0;0;4,10793530915048;0;0;98,1538023330771;0;0;"NoStep"
"CU";0;0;0;0;0;0;0;0;0;0;0;0;93,8507234252471;0;0;0;0;0;0;75,043771774087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79,3610281970538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94,9962369994012;0;0;0;0;0;0;0;0;0;0;0;22,2771975370428;0;0;0;85,4795566965666;0;"NoStep"
"CV";0;0;0;0;0;0;0;0;0;0;0;85,4795566965666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79,3610281970538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"CY";90,577798662627;0;0;0;0;0;0;78,6204259178259;0;94,8233503856089;96,7221991746;87,5124320809168;0;0;94,2569561493759;82,50049060622;0;0;0;86,3098034564552;22,2771975370428;0;92,9787296407191;0;0;98,9419799439526;0;0;0;0;0;86,7679766434191;0;4,10793530915048;85,8103153203519;0;98,1538023330771;0;0;0;0;0;0;83,7360632068012;0;0;0;93,5168066066594;0;100;0;0;0;0;85,9690659552882;0;82,6217208309667;0;77,7455932132923;0;95,5079325656292;0;0;0;86,2693914547985;85,3876322917535;94,7280488028024;0;0;0;0;0;93,861775833529;0;0;77,3922434752739;0;83,6761507075546;77,7513020498548;0;0;0;0;0;"NoStep"
"CZ";82,3355167213387;93,861775833529;93,5997457423609;0;77,3922434752739;0;83,6761507075546;77,7513020498548;0;0;91,3756443183777;88,34311288906;0;0;0;0;84,4971271180362;87,7521598974369;0;80,150287124388;0;0;94,8233503856089;0;87,5124320809168;91,0300988254722;0;94,2569561493759;82,50049060622;0;92,3250351781384;82,1928036542487;0;22,2771975370428;0;0;96,741345740768;85,4795566965666;98,9419799439526;0;0;0;0;0;0;0;0;85,8103153203519;0;0;0;0;0;0;0;91,6168211393329;0;93,7988860548389;75,043771774087;0;0;88,8369655925721;100;0;0;85,6731182139653;93,3697258948572;85,9690659552882;96,6062322172064;82,6217208309667;83,1437718909963;0;46,061773408263;95,5079325656292;0;89,5576958680554;94,2038256602913;0;0;0;0;92,0246761089864;84,5824671912688;0;"NoStep"
"DD";77,7455932132923;0;0;0;0;0;0;85,3876322917535;0;0;0;84,5824671912688;79,3610281970538;0;0;0;92,0852568537864;0;0;83,6761507075546;0;0;0;91,3756443183777;0;0;0;0;98,0041878980555;0;0;95,040672672417;0;0;94,9962369994012;0;0;0;0;0;0;0;0;0;0;0;0;90,6516306700122;0;0;0;0;0;95,7551431684418;94,8595417790172;0;0;0;0;4,10793530915048;0;0;0;0;0;93,877023581543;0;99,1273896192804;91,6168211393329;83,7360632068012;93,7988860548389;0;87,5782246640895;0;0;100;0;88,6907372920903;85,6731182139653;0;0;0;0;0;"NoStep"
"DE";0;87,5782246640895;0;88,8369655925721;100;0;0;85,6731182139653;93,3697258948572;0;0;82,6217208309667;83,1437718909963;77,7455932132923;46,061773408263;95,5079325656292;92,8184954352637;89,5576958680554;0;86,2693914547985;85,3876322917535;94,7280488028024;79,9490184841907;0;84,5824671912688;0;0;0;0;0;77,3922434752739;95,2974061243251;0;77,7513020498548;0;0;91,3756443183777;88,34311288906;0;0;93,4233920195963;0;0;0;95,040672672417;80,150287124388;0;0;0;0;87,5124320809168;91,0300988254722;0;0;82,50049060622;92,7378847149239;92,3250351781384;0;86,3098034564552;22,2771975370428;0;0;96,741345740768;0;0;78,5303725642229;0;94,8595417790172;90,3315620473103;0;86,7679766434191;85,7625863464829;4,10793530915048;85,8103153203519;84,8497354495925;98,1538023330771;67,7901688396752;0;93,877023581543;0;99,1273896192804;0;0;0;"NoStep"
"DJ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87,7521598974369;0;80,150287124388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"DK";86,3098034564552;22,2771975370428;90,6516306700122;0;96,741345740768;0;0;78,5303725642229;95,7551431684418;0;90,3315620473103;0;86,7679766434191;0;4,10793530915048;0;0;0;0;93,8507234252471;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;96,6062322172064;82,6217208309667;83,1437718909963;0;0;0;0;0;94,2038256602913;0;0;0;0;0;84,5824671912688;0;0;0;0;0;77,3922434752739;0;83,6761507075546;0;0;86,0185745631414;0;0;0;90,577798662627;93,4233920195963;0;84,4971271180362;0;0;0;78,6204259178259;0;0;96,7221991746;87,5124320809168;91,0300988254722;91,4035232572561;94,2569561493759;0;0;92,3250351781384;0;"NoStep"
"DM";0;0;0;0;0;0;0;0;0;0;0;92,3250351781384;0;0;0;0;0;0;0;98,9419799439526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"DO";83,6761507075546;0;96,5717459112672;0;0;88,34311288906;0;0;0;98,0041878980555;0;87,7521598974369;0;80,150287124388;0;0;94,8233503856089;0;0;91,0300988254722;0;0;0;0;0;0;0;22,2771975370428;90,6516306700122;0;0;0;0;0;0;94,8595417790172;0;0;0;0;0;0;0;0;0;0;0;88,2212803353923;0;0;0;0;0;0;0;0;100;0;0;0;93,3697258948572;0;0;0;0;0;0;0;0;0;0;0;85,3876322917535;0;0;92,0246761089864;0;79,3610281970538;82,3355167213387;0;0;0;0;95,2974061243251;"NoStep"
"DZ";0;0;0;0;0;0;0;0;0;0;0;77,3922434752739;0;0;77,7513020498548;96,5717459112672;86,0185745631414;0;0;0;90,577798662627;0;0;0;0;95,040672672417;0;78,6204259178259;0;0;0;0;0;0;0;0;92,7378847149239;0;0;0;0;0;0;0;0;0;78,5303725642229;0;0;0;0;0;85,7625863464829;0;0;0;98,1538023330771;0;93,8507234252471;0;88,2212803353923;99,1273896192804;0;0;93,7988860548389;75,043771774087;0;0;0;0;96,6642216191777;0;0;93,3697258948572;0;96,6062322172064;0;0;77,7455932132923;0;95,5079325656292;0;89,5576958680554;0;"NoStep"
"EC";88,6907372920903;0;93,3697258948572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79,3610281970538;82,3355167213387;0;0;0;0;0;0;0;0;0;0;88,34311288906;0;90,577798662627;0;0;84,4971271180362;87,7521598974369;0;0;0;0;0;0;0;0;0;94,2569561493759;0;0;0;0;0;0;90,6516306700122;0;0;0;98,9419799439526;0;0;0;0;0;0;0;4,10793530915048;0;84,8497354495925;0;0;0;0;0;0;91,6168211393329;83,7360632068012;93,7988860548389;75,043771774087;0;0;0;100;96,6642216191777;"NoStep"
"EE";93,8507234252471;93,877023581543;88,2212803353923;0;0;0;0;0;87,5782246640895;0;88,8369655925721;100;96,6642216191777;88,6907372920903;0;0;85,9690659552882;96,6062322172064;0;0;0;46,061773408263;95,5079325656292;0;0;0;0;85,3876322917535;94,7280488028024;0;92,0246761089864;84,5824671912688;0;82,3355167213387;0;93,5997457423609;0;0;0;0;77,7513020498548;0;0;0;88,34311288906;0;90,577798662627;93,4233920195963;0;84,4971271180362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86,3098034564552;22,2771975370428;90,6516306700122;92,9787296407191;96,741345740768;0;0;78,5303725642229;0;0;90,3315620473103;0;0;85,7625863464829;0;0;0;0;0;"NoStep"
"EG";98,9419799439526;0;0;0;0;0;0;0;4,10793530915048;0;84,8497354495925;98,1538023330771;67,7901688396752;0;93,877023581543;88,2212803353923;99,1273896192804;0;0;93,7988860548389;0;0;0;0;0;96,6642216191777;0;0;0;0;0;0;0;77,7455932132923;0;0;0;0;0;0;85,3876322917535;0;79,9490184841907;92,0246761089864;84,5824671912688;0;0;0;0;0;77,3922434752739;95,2974061243251;0;0;0;0;0;0;0;0;93,4233920195963;0;0;0;95,040672672417;80,150287124388;0;0;0;0;0;0;0;0;0;0;0;0;86,3098034564552;0;0;0;96,741345740768;0;"NoStep"
"EP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86,7679766434191;85,7625863464829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92,0246761089864;0;0;0;0;0;0;0;0;83,6761507075546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"ES";0;90,577798662627;93,4233920195963;98,0041878980555;84,4971271180362;87,7521598974369;95,040672672417;80,150287124388;78,6204259178259;0;94,8233503856089;96,7221991746;87,5124320809168;0;91,4035232572561;94,2569561493759;0;92,7378847149239;0;82,1928036542487;0;22,2771975370428;0;0;0;85,4795566965666;98,9419799439526;78,5303725642229;0;0;90,3315620473103;95,8900507504839;0;85,7625863464829;0;0;84,8497354495925;98,1538023330771;67,7901688396752;0;0;0;0;0;83,7360632068012;0;0;0;0;0;0;96,6642216191777;0;0;93,3697258948572;0;96,6062322172064;82,6217208309667;0;0;46,061773408263;0;92,8184954352637;0;0;86,2693914547985;85,3876322917535;0;79,9490184841907;92,0246761089864;84,5824671912688;0;82,3355167213387;0;0;92,0852568537864;77,3922434752739;95,2974061243251;83,6761507075546;77,7513020498548;96,5717459112672;86,0185745631414;91,3756443183777;0;"NoStep"
"ET";79,3610281970538;0;0;0;0;0;0;0;0;0;0;91,3756443183777;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"FI";83,1437718909963;77,7455932132923;0;0;0;89,5576958680554;94,2038256602913;86,2693914547985;85,3876322917535;0;79,9490184841907;0;0;0;0;0;0;0;0;95,2974061243251;0;0;96,5717459112672;0;91,3756443183777;88,34311288906;0;0;0;0;84,4971271180362;87,7521598974369;0;80,150287124388;0;0;94,8233503856089;0;87,5124320809168;0;0;0;82,50049060622;0;92,3250351781384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85,8103153203519;84,8497354495925;0;67,7901688396752;93,8507234252471;93,877023581543;0;99,1273896192804;91,6168211393329;0;93,7988860548389;75,043771774087;0;0;88,8369655925721;100;96,6642216191777;88,6907372920903;0;93,3697258948572;0;96,6062322172064;0;"NoStep"
"FJ";93,7988860548389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94,2038256602913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,0041878980555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82,1928036542487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93,877023581543;0;0;0;0;"NoStep"
"FO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84,4971271180362;0;0;0;0;0;0;0;0;0;91,4035232572561;0;82,50049060622;0;0;0;0;0;0;92,9787296407191;0;0;0;0;0;94,8595417790172;90,3315620473103;0;"NoStep"
"FR";82,1928036542487;86,3098034564552;0;0;92,9787296407191;96,741345740768;85,4795566965666;0;78,5303725642229;0;94,8595417790172;90,3315620473103;95,8900507504839;0;85,7625863464829;4,10793530915048;0;84,8497354495925;0;67,7901688396752;0;0;0;0;91,6168211393329;0;0;0;0;93,5168066066594;88,8369655925721;100;96,6642216191777;88,6907372920903;0;0;85,9690659552882;96,6062322172064;82,6217208309667;0;0;0;0;0;0;0;86,2693914547985;0;0;0;0;0;0;0;93,861775833529;93,5997457423609;92,0852568537864;0;95,2974061243251;83,6761507075546;0;0;86,0185745631414;0;0;0;90,577798662627;0;0;84,4971271180362;0;0;80,150287124388;78,6204259178259;0;94,8233503856089;96,7221991746;87,5124320809168;91,0300988254722;91,4035232572561;0;0;0;0;"NoStep"
"GA";0;0;0;0;0;0;0;0;91,4035232572561;0;82,50049060622;92,7378847149239;0;0;0;0;0;0;0;85,4795566965666;0;0;0;0;90,3315620473103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93,3697258948572;0;0;0;0;77,7455932132923;46,061773408263;95,5079325656292;0;0;0;0;0;0;0;0;0;79,3610281970538;0;0;93,5997457423609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"GB";0;83,6761507075546;0;96,5717459112672;0;91,3756443183777;88,34311288906;0;90,577798662627;0;98,0041878980555;0;87,7521598974369;0;80,150287124388;78,6204259178259;0;94,8233503856089;0;87,5124320809168;0;0;0;0;0;0;82,1928036542487;0;0;0;92,9787296407191;0;0;98,9419799439526;0;0;94,8595417790172;90,3315620473103;95,8900507504839;0;0;4,10793530915048;85,8103153203519;84,8497354495925;98,1538023330771;0;0;0;0;0;0;0;0;0;87,5782246640895;93,5168066066594;88,8369655925721;0;96,6642216191777;0;85,6731182139653;0;0;0;0;0;77,7455932132923;0;0;92,8184954352637;0;94,2038256602913;86,2693914547985;0;0;79,9490184841907;92,0246761089864;84,5824671912688;79,3610281970538;82,3355167213387;93,861775833529;0;92,0852568537864;77,3922434752739;"NoStep"
"GC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82,1928036542487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"GD";0;0;0;0;0;0;0;0;0;0;0;0;0;0;86,2693914547985;85,3876322917535;0;0;0;84,5824671912688;0;0;0;0;0;0;0;0;77,7513020498548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,2771975370428;0;92,9787296407191;0;0;0;0;0;0;0;0;86,7679766434191;0;0;85,8103153203519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"GE";67,7901688396752;0;93,877023581543;0;0;0;0;93,7988860548389;0;0;0;88,8369655925721;100;0;0;0;93,3697258948572;85,9690659552882;0;82,6217208309667;0;0;46,061773408263;0;92,8184954352637;0;0;86,2693914547985;85,3876322917535;0;0;0;0;79,3610281970538;0;0;0;0;0;95,2974061243251;0;0;0;86,0185745631414;91,3756443183777;88,34311288906;0;90,577798662627;0;0;84,4971271180362;0;0;0;78,6204259178259;0;0;0;0;0;0;0;0;0;0;0;86,3098034564552;0;0;0;0;0;98,9419799439526;0;0;94,8595417790172;0;95,8900507504839;86,7679766434191;0;0;0;0;0;"NoStep"
"GF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94,9962369994012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"GH";87,5124320809168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95,8900507504839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84,5824671912688;79,3610281970538;0;0;0;0;0;95,2974061243251;83,6761507075546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"GI";0;0;0;0;0;0;0;0;0;0;0;0;0;87,5124320809168;0;0;0;0;0;0;82,1928036542487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85,8103153203519;84,8497354495925;0;0;0;0;0;0;0;83,7360632068012;0;0;0;0;0;0;0;0;0;0;0;0;82,6217208309667;0;0;0;0;0;0;0;0;85,3876322917535;94,7280488028024;0;0;0;0;0;0;0;92,0852568537864;77,3922434752739;95,2974061243251;83,6761507075546;0;0;86,0185745631414;0;"NoStep"
"GL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95,7551431684418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77,7455932132923;0;95,5079325656292;0;0;0;0;0;0;0;0;"NoStep"
"GM";82,6217208309667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77,3922434752739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94,8595417790172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"GN";0;0;0;0;0;0;0;0;0;0;0;85,9690659552882;0;0;0;0;0;95,5079325656292;0;89,5576958680554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96,5717459112672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,9419799439526;0;95,7551431684418;0;0;0;0;0;0;0;0;98,1538023330771;67,7901688396752;0;0;0;99,1273896192804;0;"NoStep"
"GP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,0041878980555;0;0;0;0;0;0;0;0;0;91,0300988254722;0;0;0;0;0;82,1928036542487;0;0;0;0;96,741345740768;0;98,9419799439526;0;0;0;0;"NoStep"
"GQ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46,061773408263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"GR";87,7521598974369;95,040672672417;80,150287124388;78,6204259178259;0;94,8233503856089;96,7221991746;87,5124320809168;0;0;94,2569561493759;0;92,7378847149239;0;82,1928036542487;0;0;0;0;96,741345740768;0;98,9419799439526;0;0;0;90,3315620473103;95,8900507504839;86,7679766434191;0;0;0;84,8497354495925;0;67,7901688396752;0;0;88,2212803353923;99,1273896192804;91,6168211393329;0;93,7988860548389;0;0;0;0;0;96,6642216191777;88,6907372920903;0;0;0;0;0;0;77,7455932132923;46,061773408263;95,5079325656292;0;89,5576958680554;0;86,2693914547985;0;94,7280488028024;0;92,0246761089864;84,5824671912688;79,3610281970538;0;0;93,5997457423609;0;0;95,2974061243251;0;0;96,5717459112672;86,0185745631414;91,3756443183777;88,34311288906;0;90,577798662627;93,4233920195963;98,0041878980555;0;"NoStep"
"GT";77,3922434752739;0;0;0;0;0;0;0;0;0;93,4233920195963;98,0041878980555;84,4971271180362;0;95,040672672417;0;78,6204259178259;0;0;0;87,5124320809168;0;0;94,2569561493759;0;0;0;0;0;0;90,6516306700122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83,1437718909963;77,7455932132923;0;0;92,8184954352637;0;0;0;0;94,7280488028024;79,9490184841907;92,0246761089864;84,5824671912688;0;0;0;93,5997457423609;92,0852568537864;"NoStep"
"GU";0;0;0;0;0;0;0;0;79,3610281970538;82,3355167213387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,10793530915048;0;84,8497354495925;0;0;0;0;0;0;0;0;0;75,043771774087;87,5782246640895;0;0;0;0;88,6907372920903;0;0;0;96,6062322172064;0;0;0;0;0;0;"NoStep"
"GY";0;0;0;0;0;0;0;0;0;0;0;95,5079325656292;0;0;0;0;0;94,7280488028024;0;0;84,5824671912688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96,7221991746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83,7360632068012;0;0;0;0;0;"NoStep"
"HK";98,1538023330771;0;0;93,877023581543;0;99,1273896192804;91,6168211393329;83,7360632068012;93,7988860548389;0;0;0;0;0;0;0;0;0;0;96,6062322172064;0;0;0;0;0;0;0;0;0;0;94,7280488028024;0;0;84,5824671912688;0;82,3355167213387;93,861775833529;93,5997457423609;0;0;0;0;77,7513020498548;96,5717459112672;0;0;88,34311288906;0;90,577798662627;0;0;84,4971271180362;0;0;80,150287124388;78,6204259178259;94,9962369994012;94,8233503856089;0;0;0;0;0;82,50049060622;0;0;0;0;0;0;0;0;85,4795566965666;0;0;95,7551431684418;94,8595417790172;90,3315620473103;95,8900507504839;86,7679766434191;0;0;0;0;"NoStep"
"HN";96,741345740768;0;0;0;0;0;0;0;0;0;0;0;84,8497354495925;0;67,7901688396752;0;0;0;0;91,6168211393329;83,7360632068012;0;0;0;0;88,8369655925721;0;96,6642216191777;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83,6761507075546;0;96,5717459112672;0;0;0;0;0;0;0;0;0;0;0;78,6204259178259;0;0;0;0;0;0;0;0;0;0;82,1928036542487;0;0;90,6516306700122;0;"NoStep"
"HR";96,7221991746;87,5124320809168;91,0300988254722;91,4035232572561;0;82,50049060622;92,7378847149239;0;0;0;22,2771975370428;90,6516306700122;0;96,741345740768;85,4795566965666;0;78,5303725642229;95,7551431684418;0;90,3315620473103;0;0;0;0;0;0;98,1538023330771;67,7901688396752;0;0;0;99,1273896192804;0;83,7360632068012;0;0;87,5782246640895;93,5168066066594;88,8369655925721;0;0;0;0;0;0;0;0;83,1437718909963;0;0;95,5079325656292;0;0;0;86,2693914547985;85,3876322917535;94,7280488028024;0;92,0246761089864;84,5824671912688;79,3610281970538;0;0;0;92,0852568537864;0;95,2974061243251;0;0;0;0;0;88,34311288906;0;0;93,4233920195963;98,0041878980555;84,4971271180362;87,7521598974369;95,040672672417;80,150287124388;78,6204259178259;94,9962369994012;0;"NoStep"
"HT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77,3922434752739;0;0;0;0;0;"NoStep"
"HU";92,0246761089864;84,5824671912688;79,3610281970538;82,3355167213387;0;0;92,0852568537864;77,3922434752739;0;0;77,7513020498548;96,5717459112672;86,0185745631414;0;88,34311288906;0;90,577798662627;0;0;84,4971271180362;0;0;0;0;0;94,8233503856089;0;87,5124320809168;0;91,4035232572561;0;82,50049060622;0;92,3250351781384;0;0;22,2771975370428;0;92,9787296407191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75,043771774087;0;0;0;100;96,6642216191777;0;0;93,3697258948572;0;0;82,6217208309667;0;0;46,061773408263;0;92,8184954352637;89,5576958680554;0;86,2693914547985;85,3876322917535;94,7280488028024;0;"NoStep"
"IB";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92,9787296407191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"ID";91,6168211393329;0;0;75,043771774087;87,5782246640895;0;88,8369655925721;100;96,6642216191777;88,6907372920903;85,6731182139653;93,3697258948572;85,9690659552882;96,6062322172064;0;0;77,7455932132923;0;0;92,8184954352637;0;0;0;0;94,7280488028024;0;0;0;0;0;93,861775833529;0;0;0;0;0;77,7513020498548;0;86,0185745631414;0;0;0;0;0;0;84,4971271180362;87,7521598974369;0;0;0;0;0;0;0;0;0;94,2569561493759;0;0;0;0;86,3098034564552;0;0;0;96,741345740768;0;0;78,5303725642229;0;94,8595417790172;0;95,8900507504839;0;0;0;85,8103153203519;84,8497354495925;0;67,7901688396752;93,8507234252471;93,877023581543;0;99,1273896192804;"NoStep"
"IE";90,3315620473103;0;86,7679766434191;0;0;85,8103153203519;0;98,1538023330771;0;0;0;0;0;0;0;0;0;0;0;88,8369655925721;100;0;88,6907372920903;0;0;85,9690659552882;0;0;0;0;0;0;0;0;0;0;85,3876322917535;0;79,9490184841907;0;0;79,3610281970538;82,3355167213387;93,861775833529;0;92,0852568537864;0;95,2974061243251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78,6204259178259;0;0;0;87,5124320809168;0;91,4035232572561;0;0;0;92,3250351781384;0;0;0;90,6516306700122;0;96,741345740768;85,4795566965666;0;0;95,7551431684418;94,8595417790172;"NoStep"
"IL";0;92,3250351781384;0;0;0;0;0;0;0;0;0;0;94,8595417790172;0;0;86,7679766434191;0;4,10793530915048;0;84,8497354495925;0;0;0;0;0;0;0;0;0;75,043771774087;0;93,5168066066594;0;100;0;0;0;0;0;0;0;83,1437718909963;77,7455932132923;46,061773408263;95,5079325656292;0;0;94,2038256602913;86,2693914547985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96,7221991746;0;0;0;0;82,50049060622;"NoStep"
